,caseId,caseName,assetsTypes,lawsReference,longitude,latitude,addresses,govInstitution,govDeptName,govDeptAddress,govDeptPhone,caseUrl,announcementList,name,city,distinct,address
16,20041222000001,汀州路台鐵舊宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法第15條,121.53179,25.015623,"{'itemNo': 4, 'cityName': '臺北市', 'distName': '中正區', 'address': '羅斯福路三段316巷9弄7號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041222000001"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041222000001</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304459500號', 'registerDate': '2004-12-22 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,羅斯福路三段316巷9弄7號
17,20041001000002,齊東街53巷2號日式宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法,121.5278689,25.0416749,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '齊東街53巷2號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000002"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000002</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304449800號', 'registerDate': '2004-10-01 00:00:00.0', 'note': '登錄'}]",宅第,臺北市,中正區,齊東街53巷2號
18,20041001000003,齊東街53巷4號日式宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法,121.5280163,25.0415834,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '齊東街53巷4號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000003"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000003</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304449800號', 'registerDate': '2004-10-01 00:00:00.0', 'note': '登錄'}]",宅第,臺北市,中正區,齊東街53巷4號
19,20041001000004,齊東街53巷6號日式宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法,121.5281631,25.0415588,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '齊東街53巷6號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000004"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000004</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304449800號', 'registerDate': '2004-10-01 00:00:00.0', 'note': '登錄'}]",宅第,臺北市,中正區,齊東街53巷6號
20,20041001000005,齊東街53巷8號日式宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法,121.528305,25.041513,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '齊東街53巷8號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000005"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000005</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304449800號', 'registerDate': '2004-10-01 00:00:00.0', 'note': '登錄'}]",宅第,臺北市,中正區,齊東街53巷8號
21,20041001000006,齊東街53巷9號日式宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法,121.5286553,25.0416139,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '齊東街53巷9號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000006"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000006</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304449800號', 'registerDate': '2004-10-01 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,齊東街53巷9號
22,20041001000007,齊東街53巷10號日式宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法,121.5284478,25.0414905,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '齊東街53巷10號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000007"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000007</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304449800號', 'registerDate': '2004-10-01 00:00:00.0', 'note': '登錄'}]",宅第,臺北市,中正區,齊東街53巷10號
23,20041001000008,齊東街53巷13號日式宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法,121.5289351,25.0415725,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '齊東街53巷13號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000008"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000008</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304449800號', 'registerDate': '2004-10-01 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,齊東街53巷13號
24,20041001000009,濟南路二段25號日式宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法,121.5282925,25.0411971,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '濟南路2段25號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000009"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000009</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304449800號', 'registerDate': '2004-10-01 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,濟南路2段25號
25,20041001000010,濟南路二段27號日式宿舍,"{'code': 'A3', 'name': '宅第'}",文化資產保存法,121.5284951,25.0412111,"{'itemNo': 1, 'cityName': '臺北市', 'distName': '中正區', 'address': '濟南路2段27號'}",臺北市政府文化局,文化資產科,臺北市信義區市府路1號4樓東北區,(02)2720-8889,"<a href=""http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000010"" target=""_blank"">http://nchdb.boch.gov.tw/assets/advanceSearch/historicalBuilding/20041001000010</a>","[{'classification': '指定/登錄', 'officialDocNo': '府文化二字第09304449800號', 'registerDate': '2004-10-01 00:00:00.0', 'note': '登錄歷史建築'}]",宅第,臺北市,中正區,濟南路2段27號
